30.1.2024 г. 18:40:26
Make, Year, CC, Price Sold, Avg Market Price, Date Listed, Date Sold
GASGAS, 2021, N/A, 9500, 11480, 10.1.2024 г., 11.1.2024 г.
GASGAS, 2023, 350, 6999, 14700, 17.1.2024 г., 19.1.2024 г.
GASGAS, 2023, 450, 12500, 14700, 10.1.2024 г., 28.1.2024 г.
Honda, 2006, N/A, 5700, 5740, 10.1.2024 г., 17.1.2024 г.
Honda, 2007, 250, 4800, 5500, 10.1.2024 г., 16.1.2024 г.
Honda, 2007, 250, 4499, 5500, 10.1.2024 г., 24.1.2024 г.
Honda, 2007, 450, 5150, 5500, 10.1.2024 г., 28.1.2024 г.
Honda, 2008, 450, 7500, 6017, 10.1.2024 г., 15.1.2024 г.
Honda, 2008, N/A, 6000, 6017, 10.1.2024 г., 21.1.2024 г.
Honda, 2008, 450, 4500, 6017, 10.1.2024 г., 24.1.2024 г.
Honda, 2009, N/A, 4500, 4950, 10.1.2024 г., 16.1.2024 г.
Honda, 2011, N/A, 5800, 6200, 10.1.2024 г., 18.1.2024 г.
Honda, 2011, 250, 6500, 6200, 10.1.2024 г., 28.1.2024 г.
Honda, 2012, 250, 7800, 6364, 10.1.2024 г., 11.1.2024 г.
Honda, 2012, 450, 5699, 6364, 10.1.2024 г., 13.1.2024 г.
Honda, 2012, 450, 6500, 6364, 10.1.2024 г., 15.1.2024 г.
Honda, 2012, N/A, 5300, 6364, 10.1.2024 г., 18.1.2024 г.
Honda, 2012, 250, 5500, 6364, 10.1.2024 г., 19.1.2024 г.
Honda, 2012, N/A, 5200, 6364, 10.1.2024 г., 23.1.2024 г.
Honda, 2012, 450, 5999, 6364, 10.1.2024 г., 23.1.2024 г.
Honda, 2012, N/A, 5950, 6364, 17.1.2024 г., 28.1.2024 г.
Honda, 2012, 450, 5500, 6364, 19.1.2024 г., 29.1.2024 г.
Honda, 2012, 450, 5500, 6364, 10.1.2024 г., 30.1.2024 г.
Honda, 2013, N/A, 3800, 6400, 10.1.2024 г., 12.1.2024 г.
Honda, 2013, N/A, 6500, 6400, 10.1.2024 г., 18.1.2024 г.
Honda, 2013, N/A, 6000, 6400, 10.1.2024 г., 25.1.2024 г.
Honda, 2013, 250, 4900, 6400, 10.1.2024 г., 27.1.2024 г.
Honda, 2014, 450, 7800, 6970, 10.1.2024 г., 11.1.2024 г.
Honda, 2014, 450, 5999, 6970, 10.1.2024 г., 13.1.2024 г.
Honda, 2014, 450, 5900, 6970, 14.1.2024 г., 16.1.2024 г.
Honda, 2015, 450, 5600, 6996, 10.1.2024 г., 12.1.2024 г.
Honda, 2015, N/A, 6900, 6996, 10.1.2024 г., 29.1.2024 г.
Honda, 2016, 250, 7000, 7000, 11.1.2024 г., 14.1.2024 г.
Honda, 2016, 450, 7200, 7000, 17.1.2024 г., 20.1.2024 г.
Honda, 2016, 250, 6500, 7000, 10.1.2024 г., 25.1.2024 г.
Honda, 2016, 450, 6900, 7000, 10.1.2024 г., 28.1.2024 г.
Honda, 2017, 450, 8300, 8900, 10.1.2024 г., 18.1.2024 г.
Honda, 2017, 450, 6499, 8900, 10.1.2024 г., 18.1.2024 г.
Honda, 2017, N/A, 6700, 8900, 19.1.2024 г., 21.1.2024 г.
Honda, 2018, 250, 10200, 8770, 10.1.2024 г., 28.1.2024 г.
Honda, 2019, 450, 14500, 8950, 10.1.2024 г., 14.1.2024 г.
Honda, 2020, 450, 13300, 9920, 10.1.2024 г., 17.1.2024 г.
Husqvarna, 2015, 350, 6800, 6950, 10.1.2024 г., 16.1.2024 г.
Husqvarna, 2015, 700, 7600, 6950, 10.1.2024 г., 27.1.2024 г.
Husqvarna, 2018, 250, 8500, 10014, 10.1.2024 г., 15.1.2024 г.
Husqvarna, 2019, 450, 9999, 9168, 10.1.2024 г., 27.1.2024 г.
Husqvarna, 2020, 250, 5555, 9660, 10.1.2024 г., 22.1.2024 г.
Kawasaki, 2007, 450, 4800, 4800, 10.1.2024 г., 12.1.2024 г.
Kawasaki, 2007, 450, 5500, 4800, 10.1.2024 г., 17.1.2024 г.
Kawasaki, 2007, 140, 5432, 4800, 10.1.2024 г., 25.1.2024 г.
Kawasaki, 2009, 450, 5500, 4000, 10.1.2024 г., 14.1.2024 г.
Kawasaki, 2009, N/A, 4800, 4000, 10.1.2024 г., 27.1.2024 г.
Kawasaki, 2010, 250, 5500, 5918, 10.1.2024 г., 17.1.2024 г.
Kawasaki, 2011, N/A, 5500, 5995, 10.1.2024 г., 20.1.2024 г.
Kawasaki, 2011, 450, 4999, 5995, 10.1.2024 г., 25.1.2024 г.
Kawasaki, 2012, 450, 5999, 5900, 10.1.2024 г., 12.1.2024 г.
Kawasaki, 2015, 202, 6200, 6500, 10.1.2024 г., 17.1.2024 г.
Kawasaki, 2016, 140, 7700, 7322, 10.1.2024 г., 17.1.2024 г.
Kawasaki, 2016, N/A, 6200, 7322, 10.1.2024 г., 24.1.2024 г.
Kawasaki, 2017, 450, 8200, 7568, 10.1.2024 г., 21.1.2024 г.
Kawasaki, 2020, N/A, 9800, 10184, 10.1.2024 г., 29.1.2024 г.
Kawasaki, 2023, 450, 12999, 11167, 26.1.2024 г., 30.1.2024 г.
Ktm, 2009, 350, 5900, 4967, 10.1.2024 г., 28.1.2024 г.
Ktm, 2009, 530, 5600, 4967, 10.1.2024 г., 30.1.2024 г.
Ktm, 2010, 450, 5500, 5000, 10.1.2024 г., 19.1.2024 г.
Ktm, 2010, 450, 5000, 5000, 10.1.2024 г., 30.1.2024 г.
Ktm, 2012, 450, 6200, 6825, 10.1.2024 г., 25.1.2024 г.
Ktm, 2013, 250, 7000, 6100, 10.1.2024 г., 14.1.2024 г.
Ktm, 2013, 450, 7000, 6100, 10.1.2024 г., 23.1.2024 г.
Ktm, 2014, 525, 5500, 7260, 10.1.2024 г., 13.1.2024 г.
Ktm, 2014, N/A, 6200, 7260, 14.1.2024 г., 25.1.2024 г.
Ktm, 2014, N/A, 7400, 7260, 10.1.2024 г., 26.1.2024 г.
Ktm, 2015, N/A, 7199, 7515, 10.1.2024 г., 16.1.2024 г.
Ktm, 2015, N/A, 6999, 7515, 11.1.2024 г., 20.1.2024 г.
Ktm, 2016, 450, 7999, 7700, 13.1.2024 г., 27.1.2024 г.
Ktm, 2017, 350, 9000, 9047, 10.1.2024 г., 14.1.2024 г.
Ktm, 2018, 250, 7200, 9428, 10.1.2024 г., 14.1.2024 г.
Ktm, 2018, 250, 8800, 9428, 10.1.2024 г., 17.1.2024 г.
Ktm, 2018, N/A, 7490, 9428, 23.1.2024 г., 27.1.2024 г.
Ktm, 2019, 450, 10300, 10057, 19.1.2024 г., 21.1.2024 г.
Ktm, 2019, 350, 9200, 10057, 10.1.2024 г., 25.1.2024 г.
Ktm, 2019, N/A, 9000, 10057, 10.1.2024 г., 25.1.2024 г.
Ktm, 2019, N/A, 10900, 10057, 10.1.2024 г., 27.1.2024 г.
Ktm, 2021, 250, 9200, 11333, 10.1.2024 г., 20.1.2024 г.
Ktm, 2021, 450, 11499, 11333, 10.1.2024 г., 25.1.2024 г.
Ktm, 2021, N/A, 9800, 11333, 10.1.2024 г., 28.1.2024 г.
Ktm, 2022, 450, 14900, 13500, 10.1.2024 г., 27.1.2024 г.
Suzuki, 2006, N/A, 4900, 4613, 10.1.2024 г., 19.1.2024 г.
Suzuki, 2006, 250, 3900, 4613, 19.1.2024 г., 22.1.2024 г.
Suzuki, 2007, N/A, 5350, 4580, 10.1.2024 г., 29.1.2024 г.
Suzuki, 2008, 250, 4850, 4900, 10.1.2024 г., 23.1.2024 г.
Suzuki, 2008, N/A, 5300, 4900, 10.1.2024 г., 24.1.2024 г.
Suzuki, 2009, 450, 4700, 5000, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2010, N/A, 6300, 6200, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2012, 450, 7400, 6433, 10.1.2024 г., 11.1.2024 г.
Suzuki, 2013, N/A, 4400, 5350, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2013, N/A, 6500, 5350, 10.1.2024 г., 15.1.2024 г.
Suzuki, 2014, 450, 5900, 6650, 10.1.2024 г., 30.1.2024 г.
Suzuki, 2016, 250, 5300, 6250, 10.1.2024 г., 19.1.2024 г.
Suzuki, 2016, N/A, 6699, 6250, 10.1.2024 г., 19.1.2024 г.
Suzuki, 2016, N/A, 7200, 6250, 10.1.2024 г., 27.1.2024 г.
Suzuki, 2018, N/A, 6800, 8887, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2021, N/A, 9500, 9200, 10.1.2024 г., 13.1.2024 г.
Yamaha, 2007, N/A, 5000, 5000, 10.1.2024 г., 20.1.2024 г.
Yamaha, 2008, N/A, 7200, 5433, 10.1.2024 г., 12.1.2024 г.
